KIPPS ADELA,BRIAR MELSA,HURON RICHM,WELLI DUNDA,SOUTH HOSP.,THOMP ADELA,PONDM SCENI,KINGE BURL,SHEL DEVE
-,-,-,-,-,-,549,-,554
-,-,-,-,-,-,-,605,608
-,-,-,-,-,-,623,-,628
553,558,607,620,628,639,-,643,646
605,610,619,632,640,650,654,-,701
618,623,632,645,653,704,-,708,715
632,638,647,700,708,720,723,-,731
647,653,702,715,723,735,-,739,745
702,708,717,730,738,750,753,-,801
717,723,732,745,753,805,-,809,815
732,738,747,800,808,820,823,-,831
747,753,802,815,823,835,-,839,845
802,808,817,830,838,850,853,-,906
817,823,832,845,853,905,-,909,915
832,838,847,900,908,920,923,-,931
847,853,902,915,923,935,-,939,950
907,913,922,935,943,955,958,-,1011
914,919,-,-,-,-,-,-
934,939,948,1000,1008,1020,-,1024,1030
954,959,1008,1020,1028,1040,1043,-,1051
1014,1019,1028,1040,1048,1100,-,1104,1110
1034,1039,1048,1100,1108,1120,1123,-,1131
1054,1059,1108,1120,1128,1140,-,1144,1150
1114,1119,1128,1140,1148,1200,1203,-,1211
1134,1139,1148,1200,1208,1220,-,1224,1230
1154,1159,1208,1220,1228,1240,1243,-,1251
-,-,-,-,-,-,-,102,105
1214,1219,1228,1240,1249,101,104,-,120
1234,1239,1248,100,109,121,-,126,135
-,-,-,115,124,136,139,-,150
1256,102,115,130,139,151,-,156,205
-,-,-,145,153,206,209,-,220
126,132,145,200,209,221,-,226,235
141,147,200,215,224,236,239,-,250
156,202,215,230,239,251,-,256,305
206,212,230,245,254,306,309,-,320
221,227,245,300,309,321,-,326,335
236,242,300,315,324,336,339,-,350
251,257,315,330,339,351,-,356,405
306,312,330,345,354,406,409,-,420
321,327,345,400,409,421,-,426,435
336,342,400,415,424,436,439,-,450
351,357,415,430,439,451,-,456,505
406,412,430,445,454,506,509,-,520
421,427,445,500,509,521,-,526,535
436,442,500,515,524,536,539,-,550
451,457,515,530,539,551,-,556,559
506,512,530,545,554,606,609,-,614
521,527,545,600,605,615,-,620,627
536,542,600,615,620,630,633,-,638
551,557,-,-,-,-,-,-
604,610,621,632,637,647,-,652,657
619,625,-,-,-,-,-,-
634,640,651,702,707,717,720,-,727
706,710,721,732,737,747,-,752,757
736,740,751,802,807,817,820,-,827
806,810,821,832,837,847,-,852,857
836,840,851,902,907,917,920,-,927
906,910,921,932,937,947,-,952,957
936,940,951,1002,1007,1017,1020,-,1027
1006,1010,1021,1032,1037,1047,-,1052,1057
1036,1040,1051,1102,1107,1117,1120,-,1132
1106,1110,1121,1132,1137,1147,-,1152,1155
1136,1140,1148,1202,1207,1217,1220,-,1225
1218,1222,-,-,-,-,-,-
KIPPS,BRIAR,HURON,WELLI,SOUTH,THOMP,PONDM,KINGE,SHEL
ADELA,MELSA,RICHM,DUNDA,HOSP.,ADELA,SCENI,BURL,DEVE
LEAVE,ARRIVE,,,,,,,LEAVE
























































,,,,,
