Stop #,Stop Name,On Board Announcement
,,
167,Argyle Mall E Side NB,Argyle Mall   
166,Argyle Mall W side SB,Argyle Mall   
275,Boler & Byron Baseline NB,Boler at Byron Baseline 
277,Boler & Commissioners FS NB,Boler North of Commissioners 
276,Boler & Commissioners NS NB,Boler South of Commissioners 
278,Boler & Glenrose NB,Boler at Glenrose  
314,Byron Baseline & Belvedere EB,Byron Baseline at Belvedere 
315,Byron Baseline & Brock St. EB,Byron Baseline at Brock 
316,Byron Baseline & Byron Blvd EB,Byron Baseline at Byron 
318,Byron Baseline & Griffith EB,Byron Baseline at Griffith 
394,Clarke & Avalon NB,Clarke at Avalon  
2329,Clarke & Avalon SB,Clarke at Avalon  
395,Clarke & Charterhouse Cr - N Leg NB,Clarke at Charterhouse  
397,Clarke & Charterhouse Cr - S Leg NB,Marconi Club   
396,Clarke & Charterhouse SB,Clarke at Charterhouse  
398,Clarke & Churchill Ave NB,Clarke at Churchill  
399,Clarke & Churchill Ave SB ,Clarke at Churchill  
400,Clarke & Culver SB,Clarke at Culver  
402,Clarke & Dundas NB,Clarke at Dundas  
403,Clarke & Dundas SB,Clarke at Dundas  
404,Clarke & Firestone Blvd NB,Clarke at Firestone  
405,Clarke & Firestone SB,Clarke at Firestone  
406,Clarke & Gore NB,Clarke at Gore  
407,Clarke & Herbert SB,Clarke at Herbert  
409,Clarke & Pacific NB,Clarke at Pacific  
410,Clarke & Parkhurst NB,Clarke at Parkhurst  
411,Clarke & Parkhurst SB,Clarke at Parkhurst  
414,Clarke & Royal Cr - N Leg NB,Sunrise Baptist Church  
412,Clarke & Royal Cr - S Leg NB,Clarke at Royal  
413,Clarke & Royal Cr N Leg SB,Clark at Royal 
416,Clarke & Sudbury SB,Clarke at Sudbury  
419,Clarke & Trafalgar FS SB,Clarke South of Trafalger 
418,Clarke & Trafalgar NS SB,Clarke North of Trafalger 
417,Clarke & Tragalgar NB,Clake North of Trafalgar 
420,Clarke & Wavell NB,Clarke Road Secondary School 
421,Clarke & Wavell SB,Clarke at Wavell  
422,Clarke & Whitney NS NB,Clarke South of Whitney 
459,Commissioners & Halls Mills Rd FS WB,Commissioners West of Halls Mills
482,Commissioners & Stephen WB,Commissioners at Stephan  
492,Culver & Clarke Rd EB,Culver at Clarke  
494,Culver & Clarke Rd FS 1 WB,Culver at Clarke  
493,Culver & Clarke Rd FS 2 WB,1826 Culver   
2313,Culver & Culver Court WB,Culver at Culver Court 
495,Culver & Culver Cr EB,Culver at Culver Crescent 
497,Culver & Culver Cres. WB,Culver at Culver Crescent 
496,Culver & Culver Place 1 EB,Culver East of Culver Place
498,Culver & Culver Place 2 EB,Culver North of Culver Place
499,Culver & Third St EB,Culver at Third  
500,Culver & Third St WB,Culver at Third  
2331,Fanshawe College Stop 1,Fanshawe College Stop #1 
2226,Fanshawe College Stop 5,Fanshawe College Stop #5 
729,Firestone & Clarke Rd WB,Firestone at Clarke  
731,Firestone & Firestone Blvd South WB,Firestone at Firestone Boulevard 
732,Firestone & Gore SB,Firestone at Gore  
784,Gore & Clarke Rd EB,Gore at Clarke  
811,Griffith & Commissioners Rd W SB,Griffith at Commissioners  
816,Griffith & Helena Montague Ave SB,Griffith at Helena Montague 
817,Griffith & Norman Ave SB,Griffith at Norman  
843,Halls Mills & Commissioners SB,Halls Mills at Commissioners 
844,Halls Mills & Halls Mills Pl SB,Halls Mills at Halls Mills
1026,Hyde Park & Fiddlers Green Rd NB,Hyde Park at Fiddlers Green
1029,Hyde Park & Oxford St NB NS,Hyde Park south of Oxford 
1031,Hyde Park & Riverside Drive NB,Hyde Park at Riverside 
1032,Hyde Park & Valetta St. NB,Hyde Park at Valetta 
1260,Oxford & Adelaide St EB,Oxford at Adelaide  
1261,Oxford & Adelaide St WB,Oxford at Adelaide  
1263,Oxford & Beaverbrook Ave EB,Oxford at Beaverbrook  
1264,Oxford & Beaverbrook Ave FS WB,Oxford West of Beaverbrook 
1265,Oxford & Beaverbrook Ave NS WB,Oxford East of Beaverbrook 
1266,Oxford & Britannia Ave EB,Oxford at Britannia  
1267,Oxford & Britannia Ave WB,Oxford at Britannia  
1268,Oxford & Capulet Lane EB,Oxford at Capulet Lane 
1269,Oxford & Capulet Lane WB,Oxford at Capulet Lane 
1270,Oxford & Cherryhill Blvd NS 1 EB,Chelsey Park Retirement Home 
1272,Oxford & Cherryhill Blvd NS 2 EB,Oxford at Cherryhill Boulevard 
1271,Oxford & Cherryhill Blvd WB,Oxford at Cherryhill Blvd 
1278,Oxford & Clemens St EB,Oxford at Clemens  
1279,Oxford & Clemens St WB,Oxford at Clemens  
1280,Oxford & Colborne St EB,Oxford at Colborne  
1281,Oxford & Colborne St WB,Oxford at Colborne  
1285,Oxford & Elizabeth St EB,Oxford at Elizabeth  
1286,Oxford & Elizabeth St WB,Oxford at Elizabeth  
1287,Oxford & Elliott St EB,Oxford at Elliot  
1288,Oxford & Elliott St WB,Oxford at Elliot  
