ID,Stop Name,On Board Announcement
,,
229,Beckworth & Lancaster EB,Beckworth at Lancaster  
230,Beckworth & Langton EB,Beckworth at Langton  
231,Beckworth & Sorrel EB,Beckworth at Sorrel  
232,Beckworth & Toukay Cr EB,Beckworth at Toukay Crescent 
233,Beckworth & Tudor EB,Beckworth at Tudor  
344,Cheapside & Adelaide EB,Cheapside at Adelaide  
345,Cheapside & Adelaide FS WB,Cheapside West of Adelaide 
346,Cheapside & Adelaide NS WB,Cheapside East of Adelaide 
347,Cheapside & Appel EB,Cheapside at Appel  
348,Cheapside & Barker EB,Cheapside at Barker  
349,Cheapside & Boullee EB,Cheapside at Boullee  
350,Cheapside & Boullee WB,Cheapside at Boullee  
351,Cheapside & Brampton EB,Cheapside at Brampton  
2209,Cheapside & Brampton WB,Cheapside at Brampton  
352,Cheapside & Colborne EB,Cheapside at Colborne  
353,Cheapside & Colborne WB,Cheapside at Colborne  
354,Cheapside & Gammage EB,Cheapside at Gammage  
355,Cheapside & Gammage WB,Cheapside at Gammage  
356,Cheapside & Lyman WB,Cheapside at Lyman  
357,Cheapside & Maitland EB,Cheapside at Maitland  
358,Cheapside & Maitland WB,Cheapside at Maitland  
359,Cheapside & McNay EB,Cheapside at McNay  
360,Cheapside & Richmond WB,Cheapside at Richmond  
361,Cheapside & Sterling St. WB,Cheapside at Sterling  
362,Cheapside & Taylor EB,Cheapside at Taylor  
363,Cheapside & Taylor WB,Cheapside at Taylor  
364,Cheapside & Waterloo EB,Cheapside at Waterloo  
365,Cheapside & Waterloo WB,Cheapside at Waterloo  
366,Cheapside & Wellington EB,Cheapside at Wellington  
367,Cheapside & Wellington WB,Cheapside at Wellington  
368,Cheapside & William EB,Cheapside at William  
369,Cheapside & William WB,Cheapside at William  
391,Chippewa & Appache Rd E Leg WB,Chippewa Elementary School  
392,Chippewa & Appache Rd W Leg WB,Chippewa at Appache
393,Chippewa & Trevor WB,Chippewa at Trevor  
1009,Huron & Highbury Ave FS EB,Huron East of Highbury 
2241,Huron & Highbury Ave NS EB,Huron West of Highbury 
1010,Huron & Highbury FS WB,Huron West of Highbury 
1008,Huron & Highbury NS WB,Huron East of Highbury 
1015,Huron & Sandford St EB,Huron at Sandford  
1016,Huron & Sandford St WB,Huron at Sandford  
1017,Huron & Vesta EB,Huron at Vesta  
1018,Huron & Vesta WB,Huron at Vesta  
1021,Huron & Webster St FS Stop 1,Huron at Webster Stop 1
1023,Huron & Webster St FS Stop 2,Huron at Webster Stop 2
1022,Huron & Webster St. WB ,Huron at Webster  
1155,McNay & Cheapside St SB,McNay at Cheapside  
1156,McNay & Huron St NB,McNay at Huron  
1157,McNay & Huron St SB,McNay at Huron  
1160,McNay & Rock St NB,McNay at Rock  
1161,McNay & Rock St SB,McNay at Rock  
1162,McNay & Victoria Dr FS NB,McNay North of Victoria
1164,McNay & Victoria Dr NS NB,McNay South of Victoria 
1163,McNay & Victoria SB,McNay at Victoria  
1244,Oakville & Chippewa Dr NB,Oakville at Chippewa Drive 
1245,Oakville & Huron St NB,Oakville at Huron  
1246,Oakville & Tilipe Rd NB,Oakville at Tilipe  
1457,Richmond & Albert St NB,Richmond at Albert  
1461,Richmond & Carling St NS SB,Richmond North of Carling 
1463,Richmond & Central Ave SB,Richmond at Central  
1464,Richmond & Cheapside St NB,Richmond at Cheapside  
1466,Richmond & Dufferin Ave NB,Richmond at Dufferin  
1467,Richmond & Dufferin Ave SB,Richmond at Dufferin  
1470,Richmond & Dundas St NS NB,Richmond South of Dundas 
1474,Richmond & Fullarton St SB,Richmond at Fullarton  
1476,Richmond & Grosvenor St NB,Richmond at Grosvenor  
1477,Richmond & Grosvenor St SB,Richmond at Grosvenor  
1483,Richmond & Hyman Ave NB,Richmond at Hyman  
1484,Richmond & Hyman St SB,Richmond at Hyman  
1488,Richmond & Kent St NB,Richmond at Kent  
1489,Richmond & Kent St SB,Richmond at Kent  
1493,Richmond & Mill St SB,Richmond at Mill  
1494,Richmond & Oxford St? NB,Richmond at Oxford  
1495,Richmond & Oxford St SB,Richmond at Oxford  
1496,Richmond & Pall Mall St NB,Richmond at Pall Mall 
1499,Richmond & Piccadilly? NB,Richmond at Piccadilly  
1500,Richmond & Piccadilly? SB,Richmond at Piccadilly  
1501,Richmond & Queens? Ave NB,Richmond at Queens  
1486,Richmond & St. James St NB,Richmond at St James 
1487,Richmond & St. James St SB,Richmond at St James 
1620,Sandford & Bentley Dr SB,Sandford at Bentley
2273,Sandford & Huron FS SB,Sandford South of Huron
1624,Sandford & Huron St NS SB,Sandford North of Huron
1663,Sorrel & Huron NB,Sorrel at Huron  
1664,Sorrel & Kaladar NB,Sorrel at Kaladar  
1665,Sorrel & Perth Ave NB,Sorrel at Perth Ave 
